CIS D041B,4.5,46055,01Y,Advanced Python Programming,TR,09:30 am-11:20 am,Uyen Clare Nguyen (P),AT204
CIS D053,4.5,43311,61Y,Java for Mobile Development,TR,06:00 pm-07:50 pm,Tuan Son Anh Nguyen (P),AT205
CIS D055,4.5,43316,61Y,iOS Development,MW,06:00 pm-07:50 pm,Manish Goel (P),AT202
CIS D056,4.5,43306,64Z,Network Security,TBA,TBA,Mark Sherby,ONLINE
CIS D064A,4.5,44162,64Z,Database Management Systems,TBA,TBA,Tuan Son Anh Nguyen (P),ONLINE
CIS D064B,4.5,44661,64Z,Introduction to SQL,TBA,TBA,Sukhjit Singh,ONLINE
CIS D064F,4,45469,64Z,Introduction to Big Data and Analytics,TBA,TBA,Richard Hubbard (P),ONLINE
CIS D066,5,43321,64Z,Introduction to Data Communication and Networking,TBA,TBA,Speranta Mihaela Georgiou (P),ONLINE
CIS D074,4.5,46156,01Y,Software Quality Assurance,MW,03:30 pm-05:20 pm,Mary A May-Pumphrey (P),AT204
CIS D075A,5,00447,64Z,Internet Concepts and TCP/IP Protocols,TBA,TBA,Behrouz A Forouzan (P),ONLINE
CIS D089A,3,42103,64Z,Web Page Development,TBA,TBA,Valerie Elizabeth Taylor (P),ONLINE
CIS D095C,4,46058,55L,Risk Assessment and Mitigation - A Practicum,SU,09:30 am-05:20 pm,Sukhjit Singh (P),AT204
CIS D095D,3,46059,55L,Managing Outsourcing - A Practicum,SU,09:30 am-03:20 pm,Sukhjit Singh (P),AT204
CIS D095F,4,45547,64Z,Managing Cloud Projects,TR,08:00 pm-09:50 pm,Omatsone Felix Amoruwa (P),AT204
CIS D098,4.5,42533,64Z,Digital Image Editing Software (Photoshop),TBA,TBA,Patricia Ann Holmes,ONLINE
CIS D099,4.5,42532,64Z,Office Software Applications,TBA,TBA,Arthur J Linn Jr,ONLINE
CIS D102,4.5,43529,61Z,Ethical Hacking,TBA,TBA,Leonard Wilbur Fisk,ONLINE
CIS D104,4.5,44662,64Z,Digital Forensics and Hacking Investigation,TBA,TBA,Omatsone Felix Amoruwa,ONLINE
CIS D108,4.5,00454,64Z,Personal Computer Security Basics,TBA,TBA,Mark Sherby (P),ONLINE
CIS D170F,4.5,00464,61Y,Windows 7 Administration,TR,06:00 pm-07:50 pm,Jose L Rue(P),AT311
CIS D21JA,4.5,41976,01Y,Introduction to x86 Processor Assembly Language and Computer Architecture,MW,09:30 am-11:20 am,Abeer Alameer (P),AT312
CIS D21JA,4.5,45155,02Y,Introduction to x86 Processor Assembly Language and Computer Architecture,MW,01:30 pm-03:20 pm,Kamran Eftekhari (P),AT312
CIS D21JA,4.5,46057,64Z,Introduction to x86 Processor Assembly Language and Computer Architecture,TBA,TBA,Uyen Clare Nguyen,ONLINE
CIS D22BH,4.5,46310,01Y,Intermediate Programming Methodologies in C++ - HONORS,MW,11:30 am-01:20 pm,Delia-Manuela Garbacea (P),AT311
CIS D22CH,4.5,46311,03Y,Data Abstraction and Structures - HONORS,TR,01:30 pm-03:20 pm,Delia-Manuela Garbacea (P),AT311
